playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
aardsda01,331,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,331,0,1011,11,29,3,2,0,0,0,0,0,16,18,331,0,0,0,69,1011,296,160,41,183,340,2.3169999999999997,46.75,22,12,16,1,1475,141,169,17,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaronha01,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,3020,2977,78413,7436,429,144,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,1,1
aaronto01,437,944,102,216,42,6,13,94,9,8,86,145,3,0,9,6,36,387,206,6472,1317,113,22,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,448,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,448,91,3328,67,135,13,10,0,0,0,0,0,66,60,448,91,22,5,82,3328,1085,468,89,457,641,3.2100000000000004,45.41,45,21,7,3,4730,234,503,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadan01,15,21,1,2,0,0,0,0,0,1,4,5,0,0,0,0,1,9,4,138,37,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadfe01,315,9,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,315,6,822,7,31,2,1,0,0,0,0,0,6,26,315,6,0,0,1,822,260,113,36,99,234,2.0090000000000003,33.36,9,9,11,1,1168,81,119,7,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadijo01,12,49,4,11,0,0,0,5,1,0,0,3,0,0,0,0,0,12,0,0,129,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbated01,855,3044,355,772,99,43,11,324,142,0,289,16,0,33,93,0,0,830,0,0,1872,2368,315,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbeybe01,79,225,21,38,3,3,0,17,3,0,21,54,0,0,4,0,0,79,0,0,17,134,22,4,0,0,0,0,0,22,40,79,66,52,0,1,1704,686,285,18,192,161,1.7700000000000002,28.07,0,18,0,0,0,12,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbeych01,451,1751,307,492,67,46,19,280,93,0,167,105,0,23,18,0,0,451,0,0,917,90,99,18,0,0,0,0,0,0,0,1,0,0,0,0,6,6,1,0,0,0,0.51,4.5,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
