playerID,daysActive,BatG,BatBA,BatHR,FieldG,FieldPercent,PitchW,PitchL,PitchKBB,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
aardsda01,4156,331,0,0,331,0.687822,16,18,1.71947,0,0,0,0,0,1322821,0
aaronha01,8209,3298,0.304998,32.8261,3020,0.955583,0,0,0,25,0,3,0,1,0,1
aaronto01,3456,437,0.228814,1.85714,387,0.926689,0,0,0,0,0,0,0,0,0,0
aasedo01,4817,448,0,0,448,0.955392,66,60,1.48388,1,0,0,0,0,575000,0
abadan01,1676,15,0.0952381,0,9,0.657667,0,0,0,0,0,0,0,0,327000,0
abadfe01,2251,315,0.111111,0,315,0.95,6,26,2.32581,0,0,0,0,0,753280,0
abadijo01,45,12,0.22449,0,12,0.8937,0,0,0,0,0,0,0,0,0,0
abbated01,4758,855,0.253614,1.1,830,0.838812,0,0,0,0,0,0,0,0,0,0
abbeybe01,1562,79,0.168889,0,79,0.8995,22,40,0.9647,0,0,0,0,0,0,0
abbeych01,1464,451,0.280982,3.8,451,0.762233,0,0,0,0,0,0,0,0,0,0
abbotda01,34,3,0.142857,0,3,1,0,2,0.125,0,0,0,0,0,0,0
abbotfr01,879,160,0.208577,0.333333,153,0.969083,0,0,0,0,0,0,0,0,0,0
abbotgl01,4028,248,0,0,248,0.944133,62,83,1.38292,0,0,0,0,0,0,0
abbotje01,1572,233,0.263423,3.6,185,0.97522,0,0,0,0,0,0,0,0,246250,0
abbotji01,3756,263,0.0952381,0,263,0.979336,87,108,1.38974,0,0,0,0,0,1440056,1
abbotku01,2775,702,0.255871,6.2,616,0.863952,0,0,0,0,0,0,0,0,470778,0
abbotky01,1810,57,0.0967742,0,57,0.96875,4,17,1.1978,0,0,0,0,0,129500,0
abbotod01,35,22,0.185714,0,21,0.9818,0,0,0,0,0,0,0,0,0,0
abbotpa01,5100,162,0.25,0,162,0.947392,43,37,1.34909,0,0,0,0,0,924429,0
aberal01,2553,168,0.14,0,168,0.9685,24,25,0.893588,0,0,0,0,0,0,0
abercre01,908,180,0.222798,3,134,0.985633,0,0,0,0,0,0,0,0,327000,0
abernbr01,1557,232,0.24424,1.6,228,0.971417,0,0,0,0,0,0,0,0,257500,0
abernte01,588,7,0.2,0,7,0.6111,0,3,1.03417,0,0,0,0,0,0,0
abernte02,6380,681,0.138122,0,681,0.955553,63,69,1.20529,0,0,0,0,0,0,0
abernwo01,263,16,0,0,16,0.5,1,1,0.3,0,0,0,0,0,0,0
aberscl01,661,63,0.251397,1.66667,49,0.9289,0,0,0,0,0,0,0,0,0,0
ablesha01,2069,14,0,0,14,0.904767,1,5,1.36777,0,0,0,0,0,0,0
abnersh01,1852,392,0.227381,1.57143,333,0.985614,0,0,0,0,0,0,0,0,144700,0
abramca01,2577,567,0.268777,3.2,445,0.882927,0,0,0,0,0,0,0,0,0,0
abramge01,15,3,1,0,3,1,0,0,0.3333,0,0,0,0,0,0,0
abregjo01,29,6,0,0,6,0.875,1,1,1.0833,0,0,0,0,0,0,0
abreubo01,6601,2425,0.291274,14.4,2138,0.98223,0,0,0,2,0,1,1,0,7773729,0
abreujo01,79,9,0.214286,1,8,0.9706,0,0,0,0,0,0,0,0,0,0
abreujo02,916,458,0.299498,30.3333,376,0.992,0,0,0,1,0,0,1,0,9110889,0
abreuju01,29,7,0,0,7,1,0,0,4,0,0,0,0,0,0,0
abreuto01,2624,224,0.253886,1,168,0.909837,0,0,0,0,0,0,0,0,510750,0
abreuwi01,1084,38,0,0,38,0.75,0,1,1.72222,0,0,0,0,0,0,0
abstebi01,1346,170,0.242326,0.333333,163,0.9286,0,0,0,0,0,0,0,0,0,0
accarje01,2703,262,0.142857,0,262,0.88333,10,20,1.56814,0,0,0,0,0,654880,0
aceveal01,2101,204,0,0,204,0.939629,31,16,2.26109,0,0,0,0,0,1428550,0
acevejo01,1563,104,0.0792079,0,104,1,18,25,2.3075,0,0,0,0,0,286500,0
aceveju01,3019,367,0.0923077,0,367,0.92134,28,40,1.5735,0,0,0,0,0,467071,0
achteaj01,759,45,0,0,45,0.833333,2,1,1.72223,0,0,0,0,0,0,0
ackerji01,3356,467,0.166667,0,467,0.98785,33,49,1.56584,0,0,0,0,0,426500,0
ackerto01,1248,153,0.0649351,0,153,0.984375,19,13,1.70135,0,0,0,0,0,0,0
ackledu01,1808,635,0.240941,6.57143,610,0.930756,0,0,0,0,0,0,0,0,2460000,0
acklefr01,231,5,0.333333,0,5,1,1,0,1.5357,0,0,0,0,0,0,0
acostcy01,1065,107,0,0,107,0.649875,13,9,1.22697,0,0,0,0,0,0,0
acosted01,758,57,0.0344828,0,57,0.642867,6,9,1.51747,0,0,0,0,0,0,0
acostjo01,653,55,0.15,0,55,0.974367,10,10,0.7265,0,0,0,0,0,0,0
acostma01,1879,233,0,0,233,0.943183,13,13,1.94798,0,0,0,0,0,633750,0
acostme01,1905,180,0.254587,0,136,0.89572,0,0,0,0,0,0,0,0,0,0
acrema01,1093,114,0,0,114,0.9375,9,6,1.5229,0,0,0,0,0,133500,0
adairje01,4261,1165,0.254292,3.8,1167,0.893776,0,0,0,0,0,0,0,0,0,0
adairji01,14,18,0.276316,0,18,0.9485,0,0,0,0,0,0,0,0,0,0
