playerID,daysActive,BatG,BatBA,BatHR,FieldG,PitchW,PitchL,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
aardsda01,4156,331,0,0,331,16,18,0,0,0,0,0,1322821,0
aaronha01,8209,3315,0.305317,761,3038,0,0,25,0,3,0,1,0,1
aaronto01,3456,438,0.228571,13,387,0,0,0,0,0,0,0,0,0
aasedo01,4817,450,0,0,450,67,60,1,0,0,0,0,575000,0
abadan01,1676,15,0.0952381,0,9,0,0,0,0,0,0,0,327000,0
abadfe01,2251,316,0.111111,0,316,6,26,0,0,0,0,0,753280,0
abadijo01,45,12,0.22449,0,12,0,0,0,0,0,0,0,0,0
abbated01,4758,856,0.25353,11,830,0,0,0,0,0,0,0,0,0
abbeybe01,1562,79,0.168889,0,79,22,40,0,0,0,0,0,0,0
abbeych01,1464,451,0.280982,19,451,0,0,0,0,0,0,0,0,0
abbotda01,34,3,0.142857,0,3,0,2,0,0,0,0,0,0,0
abbotfr01,879,160,0.208577,1,153,0,0,0,0,0,0,0,0,0
abbotgl01,4028,249,0,0,249,62,83,0,0,0,0,0,0,0
abbotje01,1572,234,0.262982,18,186,0,0,0,0,0,0,0,246250,0
abbotji01,3756,263,0.0952381,0,263,87,108,0,0,0,0,0,1440056,1
abbotku01,2775,718,0.255299,62,628,0,0,0,0,0,0,0,470778,0
abbotky01,1810,57,0.0967742,0,57,4,17,0,0,0,0,0,129500,0
abbotod01,35,22,0.185714,0,21,0,0,0,0,0,0,0,0,0
abbotpa01,5100,166,0.25,0,166,44,38,0,0,0,0,0,924429,0
aberal01,2553,168,0.14,0,168,24,25,0,0,0,0,0,0,0
abercre01,908,180,0.222798,9,134,0,0,0,0,0,0,0,327000,0
abernbr01,1557,232,0.24424,8,228,0,0,0,0,0,0,0,257500,0
abernte01,588,7,0.2,0,7,0,3,0,0,0,0,0,0,0
abernte02,6380,681,0.138122,0,681,63,69,0,0,0,0,0,0,0
abernwo01,263,16,0,0,16,1,1,0,0,0,0,0,0,0
