playerID,daysActive,BatG,BatBA,BatHR,FieldG,PitchW,PitchL,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
aaronha01,8209,3315,0.305317,761,3038,0,0,25,0,3,0,1,0,1
abbotji01,3756,263,0.0952381,0,263,87,108,0,0,0,0,0,1440056,0
adamsba01,7420,486,0.210117,3,486,197,140,0,0,0,0,0,0,0
adamsbo03,4754,1281,0.269221,37,1066,0,0,0,0,0,0,0,0,0
adamssp01,4395,1432,0.285202,9,1392,0,0,0,0,0,0,0,0,0
ageeto01,4034,1137,0.255325,133,1081,0,0,2,0,2,0,0,0,0
aguilri01,5565,752,0.198582,3,747,88,82,3,0,0,0,0,2172533,0
akerja01,3799,496,0.076087,0,495,47,45,0,0,0,0,0,0,0
alexado01,6668,568,0.166038,0,567,194,179,1,0,0,0,0,745000,0
alexape01,6983,710,0.207899,11,704,376,210,0,0,0,0,0,0,1
allenbe01,4180,1139,0.239424,73,1023,0,0,0,0,0,0,0,0,0
allendi01,5038,1752,0.291752,351,1725,0,0,7,0,0,0,1,0,0
allenjo02,4543,369,0.173184,4,356,142,75,1,0,0,0,0,0,0
alleyge01,3676,1205,0.252908,55,1148,0,0,2,0,2,0,0,0,0
allisdo01,4452,318,0.270789,2,344,0,0,0,0,0,0,0,0,0
alomaro01,5980,2437,0.300548,214,2383,0,0,12,0,10,4,2,4787738,1
alomasa02,6939,1426,0.270678,117,1374,0,0,6,0,1,0,1,1673529,0
aloufe01,5799,2090,0.28618,206,2013,0,0,3,0,0,0,0,0,0
alouje01,5863,1393,0.279506,32,1057,0,0,0,0,0,0,0,0,0
alouma01,5016,1688,0.306077,31,1500,0,0,2,0,0,0,0,0,0
aloumo01,6529,1976,0.302747,337,1897,0,0,6,0,0,2,0,4776860,0
altroni01,12862,232,0.176895,2,229,84,76,0,0,0,0,0,0,0
anderbr01,5159,1853,0.256118,216,1710,0,0,3,0,0,0,0,3020817,0
anderga01,5854,2264,0.291909,292,1949,0,0,3,0,0,2,1,4501353,0
andersp01,170,152,0.218029,0,152,0,0,0,0,0,0,0,0,1
ansonca01,9647,2536,0.332623,97,2592,0,1,0,0,0,0,0,0,1
aparilu01,6373,2611,0.26178,83,2593,0,0,13,0,9,0,0,0,1
appieke01,5437,421,0.0963855,0,421,169,139,1,0,0,0,0,4382917,0
applilu01,7326,2422,0.310411,45,2359,0,0,7,0,0,0,0,0,1
archeji01,5109,851,0.248872,16,808,0,0,0,0,0,0,0,0,0
ashburi01,5276,2193,0.307445,29,2110,0,0,6,0,0,0,0,0,1
aurilri01,5142,1677,0.274618,192,1630,0,0,1,0,0,1,0,2130633,0
ausmubr01,6276,2006,0.25137,83,1995,0,0,1,0,3,0,0,2133206,0
austiji01,7475,1580,0.246474,13,1541,0,0,0,0,0,0,0,0,0
averiea01,4392,1671,0.317653,238,1589,0,0,6,0,0,0,0,0,1
baergca01,5648,1645,0.291061,135,1381,0,0,3,0,0,2,0,1935000,0
bagweje01,5291,2183,0.295837,451,2138,0,0,4,0,1,3,1,8542268,1
bahnsst01,5867,576,0.11691,1,575,146,149,0,0,0,0,0,0,0
bailebo01,5862,1931,0.257152,189,1738,0,0,0,0,0,0,0,0,0
bailobo01,3683,957,0.263785,9,983,0,0,0,0,0,0,0,352500,0
baineha01,7840,2861,0.28961,389,1065,0,0,6,0,0,1,0,1384643,0
bakerdu01,6601,2079,0.27842,247,1943,0,0,2,0,1,2,1,525000,0
bakerfr01,5121,1600,0.307984,99,1570,0,0,0,0,0,0,0,0,1
bancrda01,5526,1937,0.277663,32,1916,0,0,0,0,0,0,0,0,1
bandosa01,5509,2063,0.253359,247,1976,0,0,4,0,0,0,0,0,0
