playerID,daysActive,BatG,BatBA,BatHR,FieldG,FieldPercent,PitchW,PitchL,PitchKBB,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
aaronha01,8209,3298,0.304998,32.8261,3020,0.955583,0,0,0,25,0,3,0,1,0,1
abbotji01,3756,263,0.0952381,0,263,0.979336,87,108,1.38974,0,0,0,0,0,1440056,0
adamsba01,7420,482,0.211973,0.157895,482,0.960437,194,140,2.26392,0,0,0,0,0,0,0
adamsbo03,4754,1281,0.269221,2.46667,1066,0.926931,0,0,0,0,0,0,0,0,0,0
adamssp01,4395,1424,0.285766,0.642857,1384,0.921562,0,0,0,0,0,0,0,0,0,0
ageeto01,4034,1129,0.255368,10,1073,0.983531,0,0,0,2,0,2,0,0,0,0
aguilri01,5565,737,0.201439,0.157895,732,0.987184,86,81,3.31561,3,0,0,0,0,2172533,0
akerja01,3799,496,0.076087,0,495,0.966179,47,45,1.29046,0,0,0,0,0,0,0
alexado01,6668,562,0.166038,0,561,0.964539,194,174,1.76177,1,0,0,0,0,745000,0
alexape01,6983,703,0.20884,0.52381,697,0.941405,373,208,2.28684,0,0,0,0,0,0,1
allenbe01,4180,1139,0.239424,5.61538,1023,0.97449,0,0,0,0,0,0,0,0,0,0
allendi01,5038,1749,0.291851,23.4,1722,0.827993,0,0,0,7,0,0,0,1,0,0
allenjo02,4543,365,0.173184,0.266667,352,0.960167,142,75,1.42175,1,0,0,0,0,0,0
alleyge01,3676,1195,0.254393,5,1138,0.935364,0,0,0,2,0,2,0,0,0,0
allisdo01,4452,318,0.270789,0.166667,344,0.724877,0,0,0,0,0,0,0,0,0,0
alomaro01,5980,2379,0.300231,11.0526,2325,0.97927,0,0,0,12,0,10,4,2,4787738,1
alomasa02,6939,1377,0.272848,5.09091,1325,0.945805,0,0,0,6,0,1,0,1,1673529,0
aloufe01,5799,2082,0.286279,10.8421,2006,0.957181,0,0,0,3,0,0,0,0,0,0
alouje01,5863,1380,0.279862,2,1051,0.967941,0,0,0,0,0,0,0,0,0,0
alouma01,5016,1667,0.306961,1.82353,1481,0.945072,0,0,3,2,0,0,0,0,0,0
aloumo01,6529,1942,0.303254,18.4444,1864,0.98305,0,0,0,6,0,0,2,0,4776860,0
altroni01,12862,230,0.176364,0.0952381,227,0.65904,83,75,1.05891,0,0,0,0,0,0,0
anderbr01,5159,1834,0.255578,13.125,1691,0.988144,0,0,0,3,0,0,0,0,3020817,0
anderga01,5854,2228,0.292708,16.8824,1913,0.987276,0,0,0,3,0,0,2,1,4501353,0
andersp01,170,152,0.218029,0,152,0.9842,0,0,0,0,0,0,0,0,0,1
ansonca01,9647,2523,0.332587,3.59259,2592,0.830093,0,1,0.5,0,0,0,0,0,0,1
