playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
aaronha01,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,3020,2977,78413,7436,429,144,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,1,1
abbotji01,263,21,0,2,0,0,0,3,0,0,0,10,0,0,3,0,1,263,254,5022,72,300,9,16,0,0,0,0,0,87,108,263,254,31,6,0,5022,1779,791,154,620,888,2.37,49.46,30,53,32,11,7211,5,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsba01,482,1019,79,216,31,15,3,75,1,1,53,177,0,1,35,0,0,482,0,0,58,648,17,17,0,0,0,0,0,194,140,482,355,206,44,15,8986,2841,917,68,430,1036,5.1499999999999995,70.94,0,26,47,2,11947,89,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsbo03,1281,4019,591,1082,188,49,37,303,67,30,414,447,1,17,78,5,62,1066,234,6022,1748,2262,158,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamssp01,1424,5557,844,1588,249,48,9,394,154,50,453,223,0,28,136,0,14,1384,0,0,2287,3748,230,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ageeto01,1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,1073,962,26465,2371,53,61,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0
aguilri01,737,139,12,28,3,0,3,11,0,0,6,37,0,0,16,0,1,732,89,3874,99,177,5,9,0,0,0,0,0,86,81,732,89,10,0,318,3874,1233,512,138,351,1030,3.861,66.43,42,53,36,10,5391,557,568,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akerja01,496,92,3,7,2,0,0,4,0,0,1,51,0,1,10,0,1,495,0,2239,65,167,8,20,0,0,0,0,0,47,45,495,0,0,0,123,2238,679,272,64,274,404,3.5,53.96,68,13,40,0,3144,321,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexado01,562,265,19,44,8,0,0,17,0,0,9,77,0,1,23,2,7,561,464,10103,264,521,32,36,0,0,0,0,0,194,174,561,464,98,18,3,10103,3376,1406,324,978,1528,5.9,88.66,60,74,53,10,14162,56,1541,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexape01,703,1810,154,378,60,13,11,163,3,5,77,276,0,2,88,0,0,697,0,0,189,1419,25,50,0,0,0,0,0,373,208,696,599,437,90,32,15570,4868,1476,164,951,2198,5.33,62.42,0,39,70,1,20928,80,1851,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
